product_name,category,unit_cost,quantity_sold,sale_price,sale_date,stock_after_sale
Zero Nicotine 30ml,E-Liquids,100,7,249.0,2022-01-24,398
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-01-24,448
Lite 200 Puff,Disposable Vapes,100,8,249.0,2022-01-24,442
Compact Pod Kit,Pod Systems,600,4,1199.0,2022-01-24,407
Max 3000 Puff,Disposable Vapes,350,3,999.0,2022-01-25,344
E-Liquid 30ml,E-Liquids,120,7,299.0,2022-01-25,266
Premium 2000 Puff,Disposable Vapes,280,6,799.0,2022-01-25,339
E-Liquid 60ml Premium,E-Liquids,200,4,499.0,2022-01-25,425
Classic 500 Puff,Disposable Vapes,150,8,399.0,2022-01-26,264
Lite 200 Puff,Disposable Vapes,100,15,249.0,2022-01-26,427
Battery Charger,Accessories,250,2,599.0,2022-01-28,491
E-Liquid 30ml,E-Liquids,120,12,299.0,2022-01-28,254
E-Liquid 100ml Bulk,E-Liquids,300,2,699.0,2022-01-28,271
High Strength 50mg 30ml,E-Liquids,150,4,399.0,2022-01-28,483
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-01-30,204
Tropical Mix 500 Puff,Disposable Vapes,150,4,399.0,2022-01-30,476
E-Liquid 60ml Premium,E-Liquids,200,5,499.0,2022-01-31,420
Premium 2000 Puff,Disposable Vapes,280,5,799.0,2022-01-31,334
Max 3000 Puff,Disposable Vapes,350,3,999.0,2022-01-31,341
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-02-01,203
E-Liquid 30ml,E-Liquids,120,10,299.0,2022-02-01,244
E-Liquid 60ml Premium,E-Liquids,200,5,499.0,2022-02-01,415
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-02-01,404
Pod System Kit,Pod Systems,800,1,1499.0,2022-02-03,215
Tank Glass Replacement,Accessories,150,6,399.0,2022-02-03,393
Replacement Pods (4-Pack),Pod Systems,200,4,599.0,2022-02-03,272
Classic 500 Puff,Disposable Vapes,150,7,399.0,2022-02-04,257
Premium 2000 Puff,Disposable Vapes,280,4,799.0,2022-02-04,330
Compact Pod Kit,Pod Systems,600,2,1199.0,2022-02-05,402
Tank Glass Replacement,Accessories,150,3,399.0,2022-02-05,390
Premium 2000 Puff,Disposable Vapes,280,3,799.0,2022-02-05,327
Classic 500 Puff,Disposable Vapes,150,8,399.0,2022-02-08,249
Zero Nicotine 30ml,E-Liquids,100,5,249.0,2022-02-08,393
Max 3000 Puff,Disposable Vapes,350,4,999.0,2022-02-08,337
Pod System Kit,Pod Systems,800,1,1499.0,2022-02-08,214
E-Liquid 100ml Bulk,E-Liquids,300,3,699.0,2022-02-08,268
Replacement Pods (4-Pack),Pod Systems,200,7,599.0,2022-02-09,265
E-Liquid 30ml,E-Liquids,120,10,299.0,2022-02-09,234
Compact Pod Kit,Pod Systems,600,4,1199.0,2022-02-10,398
Battery 18650,Accessories,80,9,249.0,2022-02-10,447
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-02-11,202
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-02-11,395
Battery 18650,Accessories,80,9,249.0,2022-02-11,438
Classic 500 Puff,Disposable Vapes,150,7,399.0,2022-02-11,242
Max 3000 Puff,Disposable Vapes,350,3,999.0,2022-02-11,334
High Strength 50mg 30ml,E-Liquids,150,2,399.0,2022-02-13,481
E-Liquid 100ml Bulk,E-Liquids,300,1,699.0,2022-02-13,267
Lite 200 Puff,Disposable Vapes,100,12,249.0,2022-02-14,415
Replacement Pods (4-Pack),Pod Systems,200,6,599.0,2022-02-14,259
Battery 18650,Accessories,80,7,249.0,2022-02-14,431
Coil Pack (10 pcs),Accessories,200,4,499.0,2022-02-14,261
E-Liquid 30ml,E-Liquids,120,7,299.0,2022-02-14,227
Replacement Pods (4-Pack),Pod Systems,200,5,599.0,2022-02-16,254
Coil Pack (10 pcs),Accessories,200,4,499.0,2022-02-16,257
Advanced Mod,Premium Devices,1800,2,2999.0,2022-02-16,473
Pod System Kit,Pod Systems,800,3,1499.0,2022-02-16,211
Lite 200 Puff,Disposable Vapes,100,13,249.0,2022-02-16,402
Replacement Pods (4-Pack),Pod Systems,200,5,599.0,2022-02-18,249
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-02-18,447
Classic 500 Puff,Disposable Vapes,150,5,399.0,2022-02-18,237
Premium 2000 Puff,Disposable Vapes,280,3,799.0,2022-02-18,324
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-02-18,201
Battery 18650,Accessories,80,8,249.0,2022-02-22,423
Coil Pack (10 pcs),Accessories,200,6,499.0,2022-02-22,251
Pod System Kit,Pod Systems,800,3,1499.0,2022-02-22,208
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-02-22,446
Lite 200 Puff,Disposable Vapes,100,11,249.0,2022-02-24,391
Battery 18650,Accessories,80,9,249.0,2022-02-24,414
Compact Pod Kit,Pod Systems,600,4,1199.0,2022-02-24,391
Classic 500 Puff,Disposable Vapes,150,5,399.0,2022-02-24,232
Zero Nicotine 30ml,E-Liquids,100,8,249.0,2022-02-24,385
High Strength 50mg 30ml,E-Liquids,150,3,399.0,2022-02-25,478
Lite 200 Puff,Disposable Vapes,100,12,249.0,2022-02-25,379
Advanced Mod,Premium Devices,1800,2,2999.0,2022-02-25,471
Zero Nicotine 30ml,E-Liquids,100,4,249.0,2022-02-26,381
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-02-26,445
E-Liquid 30ml,E-Liquids,120,5,299.0,2022-02-26,222
Tropical Mix 500 Puff,Disposable Vapes,150,3,399.0,2022-02-27,473
Lite 200 Puff,Disposable Vapes,100,4,249.0,2022-02-27,375
Zero Nicotine 30ml,E-Liquids,100,4,249.0,2022-02-27,377
E-Liquid 100ml Bulk,E-Liquids,300,1,699.0,2022-02-27,266
E-Liquid 60ml Premium,E-Liquids,200,5,499.0,2022-02-28,410
Replacement Pods (4-Pack),Pod Systems,200,5,599.0,2022-02-28,244
Pod System Kit,Pod Systems,800,2,1499.0,2022-02-28,206
Tank Glass Replacement,Accessories,150,6,399.0,2022-02-28,384
Classic 500 Puff,Disposable Vapes,150,7,399.0,2022-02-28,225
Lite 200 Puff,Disposable Vapes,100,18,249.0,2022-03-01,357
Coil Pack (10 pcs),Accessories,200,8,499.0,2022-03-01,243
Classic 500 Puff,Disposable Vapes,150,7,399.0,2022-03-01,218
Professional Starter Kit,Premium Devices,1500,2,2499.0,2022-03-01,443
E-Liquid 30ml,E-Liquids,120,5,299.0,2022-03-06,217
Classic 500 Puff,Disposable Vapes,150,3,399.0,2022-03-06,215
Pod System Kit,Pod Systems,800,1,1499.0,2022-03-06,205
Battery 18650,Accessories,80,14,249.0,2022-03-07,400
E-Liquid 30ml,E-Liquids,120,11,299.0,2022-03-07,206
Pod System Kit,Pod Systems,800,3,1499.0,2022-03-07,202
Classic 500 Puff,Disposable Vapes,150,7,399.0,2022-03-08,208
Max 3000 Puff,Disposable Vapes,350,5,999.0,2022-03-08,329
Tank Glass Replacement,Accessories,150,8,399.0,2022-03-08,376
Tropical Mix 500 Puff,Disposable Vapes,150,7,399.0,2022-03-08,466
Advanced Mod,Premium Devices,1800,4,2999.0,2022-03-10,467
Tank Glass Replacement,Accessories,150,10,399.0,2022-03-10,366
Max 3000 Puff,Disposable Vapes,350,5,999.0,2022-03-10,324
Replacement Pods (4-Pack),Pod Systems,200,3,599.0,2022-03-12,241
High Strength 50mg 30ml,E-Liquids,150,3,399.0,2022-03-12,475
Tropical Mix 500 Puff,Disposable Vapes,150,4,399.0,2022-03-12,462
Coil Pack (10 pcs),Accessories,200,6,499.0,2022-03-14,237
Battery Charger,Accessories,250,5,599.0,2022-03-14,486
Tropical Mix 500 Puff,Disposable Vapes,150,10,399.0,2022-03-14,452
High Strength 50mg 30ml,E-Liquids,150,5,399.0,2022-03-14,470
Advanced Pod Kit,Pod Systems,1200,1,1999.0,2022-03-15,439
Lite 200 Puff,Disposable Vapes,100,11,249.0,2022-03-15,346
Battery Charger,Accessories,250,4,599.0,2022-03-15,482
Coil Pack (10 pcs),Accessories,200,6,499.0,2022-03-21,231
Battery Charger,Accessories,250,4,599.0,2022-03-21,478
Tank Glass Replacement,Accessories,150,10,399.0,2022-03-21,356
Professional Starter Kit,Premium Devices,1500,2,2499.0,2022-03-21,441
Premium 2000 Puff,Disposable Vapes,280,5,799.0,2022-03-22,319
Zero Nicotine 30ml,E-Liquids,100,8,249.0,2022-03-22,369
Classic 500 Puff,Disposable Vapes,150,12,399.0,2022-03-22,196
Advanced Mod,Premium Devices,1800,3,2999.0,2022-03-22,464
E-Liquid 30ml,E-Liquids,120,10,299.0,2022-03-23,196
Compact Pod Kit,Pod Systems,600,4,1199.0,2022-03-23,387
Advanced Mod,Premium Devices,1800,4,2999.0,2022-03-23,460
E-Liquid 60ml Premium,E-Liquids,200,7,499.0,2022-03-23,403
Battery 18650,Accessories,80,9,249.0,2022-03-25,391
Tank Glass Replacement,Accessories,150,6,399.0,2022-03-25,350
Replacement Pods (4-Pack),Pod Systems,200,4,599.0,2022-03-25,237
Coil Pack (10 pcs),Accessories,200,5,499.0,2022-03-25,226
High Strength 50mg 30ml,E-Liquids,150,5,399.0,2022-03-25,465
Premium 2000 Puff,Disposable Vapes,280,6,799.0,2022-03-29,313
High Strength 50mg 30ml,E-Liquids,150,4,399.0,2022-03-29,461
Coil Pack (10 pcs),Accessories,200,8,499.0,2022-03-29,218
Battery Charger,Accessories,250,3,599.0,2022-04-01,475
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-04-01,437
Advanced Mod,Premium Devices,1800,2,2999.0,2022-04-01,458
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-04-01,384
Coil Pack (10 pcs),Accessories,200,8,499.0,2022-04-01,210
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-04-02,200
Compact Pod Kit,Pod Systems,600,2,1199.0,2022-04-02,382
E-Liquid 30ml,E-Liquids,120,8,299.0,2022-04-09,188
Battery Charger,Accessories,250,2,599.0,2022-04-09,473
Battery 18650,Accessories,80,10,249.0,2022-04-09,381
Max 3000 Puff,Disposable Vapes,350,3,999.0,2022-04-09,321
Zero Nicotine 30ml,E-Liquids,100,4,249.0,2022-04-09,365
Tank Glass Replacement,Accessories,150,5,399.0,2022-04-10,345
Premium 2000 Puff,Disposable Vapes,280,2,799.0,2022-04-10,311
High Strength 50mg 30ml,E-Liquids,150,2,399.0,2022-04-10,459
Tropical Mix 500 Puff,Disposable Vapes,150,11,399.0,2022-04-11,441
Zero Nicotine 30ml,E-Liquids,100,9,249.0,2022-04-11,356
Pod System Kit,Pod Systems,800,3,1499.0,2022-04-14,199
Advanced Mod,Premium Devices,1800,3,2999.0,2022-04-14,455
Tank Glass Replacement,Accessories,150,9,399.0,2022-04-15,336
Premium 2000 Puff,Disposable Vapes,280,4,799.0,2022-04-15,307
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-04-15,435
E-Liquid 30ml,E-Liquids,120,8,299.0,2022-04-15,180
Coil Pack (10 pcs),Accessories,200,3,499.0,2022-04-16,207
Advanced Mod,Premium Devices,1800,1,2999.0,2022-04-16,454
Lite 200 Puff,Disposable Vapes,100,7,249.0,2022-04-16,339
Pod System Kit,Pod Systems,800,2,1499.0,2022-04-21,197
Premium 2000 Puff,Disposable Vapes,280,7,799.0,2022-04-21,300
Compact Pod Kit,Pod Systems,600,2,1199.0,2022-04-23,380
Tank Glass Replacement,Accessories,150,7,399.0,2022-04-23,329
E-Liquid 60ml Premium,E-Liquids,200,3,499.0,2022-04-24,400
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-04-24,440
Coil Pack (10 pcs),Accessories,200,3,499.0,2022-04-24,204
Compact Pod Kit,Pod Systems,600,1,1199.0,2022-04-24,379
High Strength 50mg 30ml,E-Liquids,150,7,399.0,2022-04-26,452
Pod System Kit,Pod Systems,800,4,1499.0,2022-04-26,193
Battery 18650,Accessories,80,15,249.0,2022-04-26,366
Professional Starter Kit,Premium Devices,1500,2,2499.0,2022-04-26,438
Tropical Mix 500 Puff,Disposable Vapes,150,8,399.0,2022-04-27,433
Tank Glass Replacement,Accessories,150,8,399.0,2022-04-27,321
Coil Pack (10 pcs),Accessories,200,9,499.0,2022-04-27,195
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-04-27,433
Zero Nicotine 30ml,E-Liquids,100,11,249.0,2022-04-28,345
High Strength 50mg 30ml,E-Liquids,150,6,399.0,2022-04-28,446
Advanced Mod,Premium Devices,1800,3,2999.0,2022-04-28,451
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-04-28,431
Classic 500 Puff,Disposable Vapes,150,4,399.0,2022-05-01,192
Tropical Mix 500 Puff,Disposable Vapes,150,6,399.0,2022-05-01,427
Tank Glass Replacement,Accessories,150,5,399.0,2022-05-01,316
E-Liquid 30ml,E-Liquids,120,15,299.0,2022-05-06,165
Coil Pack (10 pcs),Accessories,200,5,499.0,2022-05-06,190
Professional Starter Kit,Premium Devices,1500,2,2499.0,2022-05-06,436
Tank Glass Replacement,Accessories,150,8,399.0,2022-05-06,308
High Strength 50mg 30ml,E-Liquids,150,6,399.0,2022-05-06,440
Zero Nicotine 30ml,E-Liquids,100,5,249.0,2022-05-07,340
Compact Pod Kit,Pod Systems,600,2,1199.0,2022-05-07,377
Battery 18650,Accessories,80,10,249.0,2022-05-07,356
Classic 500 Puff,Disposable Vapes,150,5,399.0,2022-05-07,187
Replacement Pods (4-Pack),Pod Systems,200,4,599.0,2022-05-07,233
Compact Pod Kit,Pod Systems,600,2,1199.0,2022-05-08,375
Coil Pack (10 pcs),Accessories,200,4,499.0,2022-05-08,186
Premium 2000 Puff,Disposable Vapes,280,3,799.0,2022-05-08,297
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-05-08,199
Replacement Pods (4-Pack),Pod Systems,200,4,599.0,2022-05-08,229
Battery Charger,Accessories,250,5,599.0,2022-05-09,468
Pod System Kit,Pod Systems,800,4,1499.0,2022-05-09,189
Premium 2000 Puff,Disposable Vapes,280,7,799.0,2022-05-11,290
Max 3000 Puff,Disposable Vapes,350,5,999.0,2022-05-11,316
Replacement Pods (4-Pack),Pod Systems,200,9,599.0,2022-05-11,220
Professional Starter Kit,Premium Devices,1500,2,2499.0,2022-05-12,434
Max 3000 Puff,Disposable Vapes,350,4,999.0,2022-05-12,312
Replacement Pods (4-Pack),Pod Systems,200,3,599.0,2022-05-14,217
E-Liquid 60ml Premium,E-Liquids,200,5,499.0,2022-05-14,395
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-05-15,372
Battery 18650,Accessories,80,7,249.0,2022-05-15,349
Tropical Mix 500 Puff,Disposable Vapes,150,5,399.0,2022-05-15,422
Advanced Mod,Premium Devices,1800,1,2999.0,2022-05-15,450
Zero Nicotine 30ml,E-Liquids,100,9,249.0,2022-05-17,331
Tropical Mix 500 Puff,Disposable Vapes,150,8,399.0,2022-05-17,414
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-05-17,198
E-Liquid 60ml Premium,E-Liquids,200,5,499.0,2022-05-17,390
Classic 500 Puff,Disposable Vapes,150,11,399.0,2022-05-20,176
Zero Nicotine 30ml,E-Liquids,100,8,249.0,2022-05-20,323
Tropical Mix 500 Puff,Disposable Vapes,150,10,399.0,2022-05-23,404
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-05-23,429
Advanced Mod,Premium Devices,1800,4,2999.0,2022-05-24,446
E-Liquid 30ml,E-Liquids,120,16,299.0,2022-05-24,149
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-05-26,427
E-Liquid 60ml Premium,E-Liquids,200,10,499.0,2022-05-26,380
Coil Pack (10 pcs),Accessories,200,7,499.0,2022-05-26,179
E-Liquid 60ml Premium,E-Liquids,200,5,499.0,2022-05-27,375
Coil Pack (10 pcs),Accessories,200,7,499.0,2022-05-27,172
Battery 18650,Accessories,80,13,249.0,2022-05-27,336
Premium 2000 Puff,Disposable Vapes,280,5,799.0,2022-05-27,285
Replacement Pods (4-Pack),Pod Systems,200,3,599.0,2022-05-28,214
Compact Pod Kit,Pod Systems,600,2,1199.0,2022-05-28,370
E-Liquid 30ml,E-Liquids,120,5,299.0,2022-05-28,144
E-Liquid 30ml,E-Liquids,120,8,299.0,2022-05-29,136
Advanced Pod Kit,Pod Systems,1200,1,1999.0,2022-05-29,426
Battery 18650,Accessories,80,6,249.0,2022-05-29,330
High Strength 50mg 30ml,E-Liquids,150,3,399.0,2022-05-29,437
Max 3000 Puff,Disposable Vapes,350,2,999.0,2022-05-29,310
Max 3000 Puff,Disposable Vapes,350,5,999.0,2022-05-30,305
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-05-30,197
Replacement Pods (4-Pack),Pod Systems,200,5,599.0,2022-05-30,209
Coil Pack (10 pcs),Accessories,200,8,499.0,2022-05-30,164
Advanced Mod,Premium Devices,1800,3,2999.0,2022-05-30,443
Lite 200 Puff,Disposable Vapes,100,12,249.0,2022-05-31,327
Tropical Mix 500 Puff,Disposable Vapes,150,9,399.0,2022-05-31,395
E-Liquid 100ml Bulk,E-Liquids,300,6,699.0,2022-05-31,260
Battery 18650,Accessories,80,12,249.0,2022-05-31,318
Advanced Mod,Premium Devices,1800,5,2999.0,2022-06-01,438
Compact Pod Kit,Pod Systems,600,6,1199.0,2022-06-01,364
Max 3000 Puff,Disposable Vapes,350,4,999.0,2022-06-02,301
High Strength 50mg 30ml,E-Liquids,150,8,399.0,2022-06-02,429
E-Liquid 30ml,E-Liquids,120,16,299.0,2022-06-02,120
Tank Glass Replacement,Accessories,150,4,399.0,2022-06-04,304
Advanced Mod,Premium Devices,1800,2,2999.0,2022-06-04,436
Pod System Kit,Pod Systems,800,2,1499.0,2022-06-04,187
Premium 2000 Puff,Disposable Vapes,280,5,799.0,2022-06-06,280
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-06-06,196
E-Liquid 30ml,E-Liquids,120,11,299.0,2022-06-06,109
High Strength 50mg 30ml,E-Liquids,150,7,399.0,2022-06-07,422
Tropical Mix 500 Puff,Disposable Vapes,150,12,399.0,2022-06-07,383
Classic 500 Puff,Disposable Vapes,150,12,399.0,2022-06-08,164
Premium 2000 Puff,Disposable Vapes,280,5,799.0,2022-06-08,275
Lite 200 Puff,Disposable Vapes,100,20,249.0,2022-06-08,307
Professional Starter Kit,Premium Devices,1500,2,2499.0,2022-06-08,432
Tropical Mix 500 Puff,Disposable Vapes,150,12,399.0,2022-06-08,371
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-06-09,424
E-Liquid 100ml Bulk,E-Liquids,300,7,699.0,2022-06-09,253
Professional Starter Kit,Premium Devices,1500,3,2499.0,2022-06-09,429
Replacement Pods (4-Pack),Pod Systems,200,8,599.0,2022-06-10,201
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-06-10,422
Max 3000 Puff,Disposable Vapes,350,4,999.0,2022-06-10,297
Tropical Mix 500 Puff,Disposable Vapes,150,5,399.0,2022-06-11,366
Classic 500 Puff,Disposable Vapes,150,4,399.0,2022-06-11,160
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-06-11,195
Lite 200 Puff,Disposable Vapes,100,10,249.0,2022-06-12,297
E-Liquid 30ml,E-Liquids,120,7,299.0,2022-06-12,102
Zero Nicotine 30ml,E-Liquids,100,6,249.0,2022-06-12,317
Pod System Kit,Pod Systems,800,2,1499.0,2022-06-12,185
E-Liquid 60ml Premium,E-Liquids,200,7,499.0,2022-06-15,368
Tank Glass Replacement,Accessories,150,8,399.0,2022-06-15,296
Tropical Mix 500 Puff,Disposable Vapes,150,13,399.0,2022-06-16,353
E-Liquid 30ml,E-Liquids,120,11,299.0,2022-06-16,91
Professional Starter Kit,Premium Devices,1500,3,2499.0,2022-06-16,426
Coil Pack (10 pcs),Accessories,200,8,499.0,2022-06-16,156
Advanced Mod,Premium Devices,1800,4,2999.0,2022-06-16,432
Classic 500 Puff,Disposable Vapes,150,8,399.0,2022-06-18,152
E-Liquid 30ml,E-Liquids,120,7,299.0,2022-06-18,84
Premium 2000 Puff,Disposable Vapes,280,4,799.0,2022-06-19,271
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-06-19,194
Replacement Pods (4-Pack),Pod Systems,200,9,599.0,2022-06-21,192
Max 3000 Puff,Disposable Vapes,350,5,999.0,2022-06-21,292
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-06-21,361
Battery 18650,Accessories,80,15,249.0,2022-06-21,303
Tropical Mix 500 Puff,Disposable Vapes,150,11,399.0,2022-06-22,342
Tank Glass Replacement,Accessories,150,8,399.0,2022-06-22,288
Compact Pod Kit,Pod Systems,600,7,1199.0,2022-06-22,354
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-06-22,420
Battery 18650,Accessories,80,17,249.0,2022-06-23,286
High Strength 50mg 30ml,E-Liquids,150,8,399.0,2022-06-23,414
E-Liquid 30ml,E-Liquids,120,13,299.0,2022-06-23,71
Compact Pod Kit,Pod Systems,600,6,1199.0,2022-06-23,348
Battery 18650,Accessories,80,18,249.0,2022-06-24,268
Battery Charger,Accessories,250,6,599.0,2022-06-24,462
Zero Nicotine 30ml,E-Liquids,100,5,249.0,2022-06-26,312
Coil Pack (10 pcs),Accessories,200,5,499.0,2022-06-26,151
Battery Charger,Accessories,250,2,599.0,2022-06-26,460
Compact Pod Kit,Pod Systems,600,3,1199.0,2022-06-26,345
Battery 18650,Accessories,80,14,249.0,2022-06-27,254
Coil Pack (10 pcs),Accessories,200,9,499.0,2022-06-27,142
Max 3000 Puff,Disposable Vapes,350,5,999.0,2022-06-27,287
High Strength 50mg 30ml,E-Liquids,150,4,399.0,2022-06-28,410
E-Liquid 60ml Premium,E-Liquids,200,7,499.0,2022-06-28,361
Advanced Mod,Premium Devices,1800,3,2999.0,2022-06-28,429
Tank Glass Replacement,Accessories,150,11,399.0,2022-06-28,277
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-06-28,193
Replacement Pods (4-Pack),Pod Systems,200,7,599.0,2022-06-29,185
Advanced Mod,Premium Devices,1800,4,2999.0,2022-06-29,425
Lite 200 Puff,Disposable Vapes,100,13,249.0,2022-07-01,284
Max 3000 Puff,Disposable Vapes,350,6,999.0,2022-07-01,281
Tank Glass Replacement,Accessories,150,9,399.0,2022-07-01,268
Pod System Kit,Pod Systems,800,3,1499.0,2022-07-01,182
Advanced Pod Kit,Pod Systems,1200,1,1999.0,2022-07-01,419
Zero Nicotine 30ml,E-Liquids,100,5,249.0,2022-07-02,307
Tropical Mix 500 Puff,Disposable Vapes,150,6,399.0,2022-07-02,336
Professional Starter Kit,Premium Devices,1500,1,2499.0,2022-07-03,425
E-Liquid 30ml,E-Liquids,120,5,299.0,2022-07-03,66
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-07-03,192
Tropical Mix 500 Puff,Disposable Vapes,150,3,399.0,2022-07-03,333
Max 3000 Puff,Disposable Vapes,350,4,999.0,2022-07-05,277
Pod System Kit,Pod Systems,800,4,1499.0,2022-07-05,178
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-07-05,191
Premium 2000 Puff,Disposable Vapes,280,6,799.0,2022-07-05,265
E-Liquid 30ml,E-Liquids,120,14,299.0,2022-07-05,52
Advanced Mod,Premium Devices,1800,4,2999.0,2022-07-06,421
Coil Pack (10 pcs),Accessories,200,6,499.0,2022-07-06,136
Tropical Mix 500 Puff,Disposable Vapes,150,10,399.0,2022-07-07,323
High Strength 50mg 30ml,E-Liquids,150,5,399.0,2022-07-07,405
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-07-07,417
Compact Pod Kit,Pod Systems,600,5,1199.0,2022-07-07,340
Coil Pack (10 pcs),Accessories,200,5,499.0,2022-07-07,131
Coil Pack (10 pcs),Accessories,200,7,499.0,2022-07-08,124
Classic 500 Puff,Disposable Vapes,150,9,399.0,2022-07-08,143
High Strength 50mg 30ml,E-Liquids,150,8,399.0,2022-07-13,397
Compact Pod Kit,Pod Systems,600,5,1199.0,2022-07-13,335
Tank Glass Replacement,Accessories,150,10,399.0,2022-07-13,258
E-Liquid 60ml Premium,E-Liquids,200,8,499.0,2022-07-15,353
Temperature Control Device,Premium Devices,3000,1,4999.0,2022-07-15,190
E-Liquid 30ml,E-Liquids,120,12,299.0,2022-07-15,40
Advanced Pod Kit,Pod Systems,1200,2,1999.0,2022-07-15,415
Lite 200 Puff,Disposable Vapes,100,11,249.0,2022-07-15,273
Coil Pack (10 pcs),Accessories,200,7,499.0,2022-07-19,117
