product_name,quantity_sold,sale_price,sale_date
Battery 18650,4,19.79,2023-02-23
Battery 18650,7,14.11,2023-02-23
Chargers,6,50.65,2023-02-23
Chargers,7,65.42,2023-02-23
Drip Tips,5,31.71,2023-02-23
Charger,2,19.18,2023-02-23
Drip Tips,1,36.85,2023-02-23
Batteries,17,33.69,2023-02-23
Charger,1,23.61,2023-02-23
Replacement Coils,8,17.44,2023-02-23
Replacement Coils,5,11.76,2023-02-23
Zero Nicotine 30ml,9,25.9,2023-02-23
E-Liquid Premium,13,76.69,2023-02-23
E-Liquid Premium,17,41.13,2023-02-23
Vape Juice 30ml,33,53.19,2023-02-23
Atomizers,8,58.26,2023-02-23
Atomizers,8,54.48,2023-02-23
Tanks,18,72.25,2023-02-23
Starter Kit,6,35.54,2023-02-23
Vape Mod XL,12,46.02,2023-02-23
Zero Nicotine 30ml,6,27.69,2023-02-23
Zero Nicotine 30ml,9,30.85,2023-02-24
Replacement Coils,18,14.81,2023-02-24
Cotton Wicking,28,53.74,2023-02-24
Batteries,13,17.55,2023-02-24
Batteries,10,36.79,2023-02-24
Tank Glass,16,16.99,2023-02-24
Battery 18650,5,22.89,2023-02-24
Battery 18650,3,11.35,2023-02-24
Chargers,21,83.56,2023-02-24
Charger,11,7.64,2023-02-24
Battery 18650,4,19.71,2023-02-24
Zero Nicotine 30ml,6,41.3,2023-02-24
Nicotine Pods,18,65.39,2023-02-24
E-Liquid Premium,16,45.81,2023-02-24
Zero Nicotine 30ml,8,39.34,2023-02-24
Pod Kit,20,71.7,2023-02-24
Vape Mod XL,15,59.82,2023-02-24
Starter Kit,4,28.77,2023-02-24
Tanks,24,75.75,2023-02-24
Starter Kit,6,27.0,2023-02-24
Vape Juice 30ml,23,38.45,2023-02-24
Vape Juice 60ml,12,9.39,2023-02-24
Vape Juice 60ml,13,54.84,2023-02-24
E-Liquid Premium,17,77.61,2023-02-24
Atomizers,18,76.06,2023-02-24
Batteries,9,39.15,2023-02-25
Nicotine Pods,10,52.16,2023-02-25
Nicotine Pods,11,25.18,2023-02-25
Cotton Wicking,21,59.38,2023-02-25
Batteries,6,14.57,2023-02-25
Tank Glass,5,22.82,2023-02-25
Battery 18650,13,23.54,2023-02-25
Chargers,17,29.48,2023-02-25
Charger,9,18.69,2023-02-25
Tank Glass,5,16.57,2023-02-25
Drip Tips,14,51.37,2023-02-25
Batteries,10,34.1,2023-02-25
Zero Nicotine 30ml,24,20.1,2023-02-25
E-Liquid Premium,18,62.19,2023-02-25
Vape Juice 60ml,37,31.4,2023-02-25
E-Liquid Premium,19,72.69,2023-02-25
Vape Mod XL,4,63.02,2023-02-25
Vape Mod XL,6,40.97,2023-02-25
Vape Mod XL,6,84.8,2023-02-25
Starter Kit,11,40.46,2023-02-25
Pod Kit,33,66.35,2023-02-25
Tanks,5,70.11,2023-02-25
Tanks,4,49.29,2023-02-25
Atomizers,25,52.73,2023-02-25
Vape Juice 30ml,44,28.91,2023-02-25
Tanks,6,73.95,2023-02-25
Replacement Coils,10,14.73,2023-02-26
Drip Tips,5,39.57,2023-02-26
Drip Tips,2,31.14,2023-02-26
Tank Glass,19,31.18,2023-02-26
Chargers,23,53.85,2023-02-26
Batteries,28,21.5,2023-02-26
Cotton Wicking,33,39.81,2023-02-26
Replacement Coils,12,13.11,2023-02-26
Nicotine Pods,32,45.17,2023-02-26
Drip Tips,4,30.58,2023-02-26
Zero Nicotine 30ml,12,39.15,2023-02-26
Vape Mod XL,6,35.32,2023-02-26
Vape Mod XL,9,35.04,2023-02-26
Tanks,30,49.61,2023-02-26
Atomizers,18,65.73,2023-02-26
Zero Nicotine 30ml,15,47.21,2023-02-26
Vape Juice 30ml,19,34.9,2023-02-26
Vape Juice 60ml,36,23.45,2023-02-26
E-Liquid Premium,30,43.85,2023-02-26
Vape Juice 30ml,21,36.47,2023-02-26
Replacement Coils,14,22.63,2023-02-27
Drip Tips,4,27.75,2023-02-27
Drip Tips,4,36.84,2023-02-27
Tank Glass,10,12.44,2023-02-27
Charger,8,23.22,2023-02-27
Chargers,12,47.62,2023-02-27
Batteries,14,57.21,2023-02-27
Cotton Wicking,25,30.67,2023-02-27
Nicotine Pods,7,61.6,2023-02-27
Nicotine Pods,9,57.62,2023-02-27
E-Liquid Premium,11,61.49,2023-02-27
Vape Juice 30ml,33,67.0,2023-02-27
Atomizers,11,65.07,2023-02-27
Tanks,19,61.95,2023-02-27
Starter Kit,3,46.42,2023-02-27
Starter Kit,3,39.03,2023-02-27
Vape Mod XL,12,80.69,2023-02-27
Pod Kit,11,61.84,2023-02-27
Pod Kit,9,57.93,2023-02-27
E-Liquid Premium,14,56.5,2023-02-27
Zero Nicotine 30ml,11,42.49,2023-02-28
Zero Nicotine 30ml,9,37.42,2023-02-28
Nicotine Pods,19,29.28,2023-02-28
Replacement Coils,13,23.67,2023-02-28
Cotton Wicking,17,12.48,2023-02-28
Drip Tips,9,13.05,2023-02-28
Battery 18650,11,21.92,2023-02-28
Charger,10,22.88,2023-02-28
Tank Glass,13,18.86,2023-02-28
Batteries,18,7.1,2023-02-28
E-Liquid Premium,11,71.67,2023-02-28
Pod Kit,12,56.83,2023-02-28
E-Liquid Premium,11,73.67,2023-02-28
E-Liquid Premium,8,62.22,2023-02-28
Vape Mod XL,13,36.56,2023-02-28
Starter Kit,6,38.98,2023-02-28
Starter Kit,6,31.23,2023-02-28
Pod Kit,13,52.02,2023-02-28
Atomizers,9,33.14,2023-02-28
Atomizers,11,49.32,2023-02-28
Vape Juice 30ml,33,52.98,2023-02-28
Vape Juice 60ml,25,41.0,2023-02-28
Tanks,14,61.53,2023-02-28
Replacement Coils,2,18.71,2023-03-01
Tank Glass,10,16.84,2023-03-01
Drip Tips,10,20.7,2023-03-01
Charger,8,24.5,2023-03-01
Chargers,18,49.56,2023-03-01
Battery 18650,8,18.49,2023-03-01
Batteries,5,73.25,2023-03-01
Batteries,8,41.41,2023-03-01
Batteries,6,54.62,2023-03-01
Cotton Wicking,14,41.59,2023-03-01
Replacement Coils,6,12.2,2023-03-01
Starter Kit,5,28.75,2023-03-01
Nicotine Pods,20,57.44,2023-03-01
Vape Mod XL,8,44.57,2023-03-01
Starter Kit,6,28.69,2023-03-01
Tanks,17,83.2,2023-03-01
Atomizers,4,43.74,2023-03-01
Replacement Coils,6,21.42,2023-03-01
Vape Juice 30ml,13,50.96,2023-03-01
Vape Juice 30ml,15,51.9,2023-03-01
Vape Juice 60ml,16,50.19,2023-03-01
E-Liquid Premium,28,56.49,2023-03-01
Atomizers,5,53.29,2023-03-01
Nicotine Pods,26,61.0,2023-03-02
Replacement Coils,12,5.0,2023-03-02
Cotton Wicking,22,27.24,2023-03-02
Batteries,20,16.86,2023-03-02
Battery 18650,16,23.87,2023-03-02
Charger,10,14.32,2023-03-02
Tank Glass,1,18.88,2023-03-02
Tank Glass,1,12.4,2023-03-02
Zero Nicotine 30ml,8,39.17,2023-03-02
Drip Tips,11,29.84,2023-03-02
Chargers,18,56.46,2023-03-02
Tank Glass,3,16.24,2023-03-02
Zero Nicotine 30ml,6,34.12,2023-03-02
Vape Juice 60ml,15,28.23,2023-03-02
Vape Juice 30ml,28,63.98,2023-03-02
Atomizers,14,44.78,2023-03-02
Tanks,25,49.12,2023-03-02
Starter Kit,11,31.8,2023-03-02
Vape Mod XL,4,45.63,2023-03-02
Vape Mod XL,7,29.68,2023-03-02
Vape Mod XL,4,66.85,2023-03-02
Pod Kit,11,48.37,2023-03-02
Pod Kit,14,58.84,2023-03-02
Vape Juice 60ml,11,27.15,2023-03-02
Cotton Wicking,15,56.03,2023-03-03
Cotton Wicking,14,29.98,2023-03-03
Batteries,27,47.54,2023-03-03
Battery 18650,16,19.56,2023-03-03
Replacement Coils,18,19.0,2023-03-03
Charger,7,21.36,2023-03-03
Charger,4,20.33,2023-03-03
Tank Glass,20,13.27,2023-03-03
Chargers,22,53.41,2023-03-03
Nicotine Pods,5,39.73,2023-03-03
Nicotine Pods,8,23.51,2023-03-03
Nicotine Pods,7,60.78,2023-03-03
Vape Mod XL,11,29.74,2023-03-03
Starter Kit,12,41.62,2023-03-03
Tanks,22,68.34,2023-03-03
Vape Juice 30ml,50,64.01,2023-03-03
Pod Kit,23,47.46,2023-03-03
Vape Juice 60ml,17,30.73,2023-03-03
E-Liquid Premium,33,51.07,2023-03-03
Zero Nicotine 30ml,21,34.42,2023-03-03
Vape Juice 60ml,19,39.65,2023-03-03
Batteries,28,9.75,2023-03-04
Drip Tips,11,39.79,2023-03-04
Tank Glass,6,12.84,2023-03-04
Tank Glass,3,16.38,2023-03-04
Tank Glass,4,24.08,2023-03-04
Charger,11,24.21,2023-03-04
Chargers,9,20.82,2023-03-04
Chargers,11,58.79,2023-03-04
Nicotine Pods,33,27.76,2023-03-04
Replacement Coils,16,18.47,2023-03-04
Vape Juice 60ml,39,10.84,2023-03-04
Vape Juice 30ml,10,24.51,2023-03-04
Vape Juice 30ml,11,46.57,2023-03-04
Vape Juice 30ml,10,55.12,2023-03-04
Atomizers,15,73.34,2023-03-04
Tanks,19,65.13,2023-03-04
Vape Mod XL,8,47.51,2023-03-04
Vape Mod XL,12,62.25,2023-03-04
E-Liquid Premium,31,71.98,2023-03-04
Zero Nicotine 30ml,11,36.34,2023-03-05
Nicotine Pods,13,34.27,2023-03-05
Nicotine Pods,13,12.91,2023-03-05
Cotton Wicking,13,37.36,2023-03-05
Batteries,17,49.68,2023-03-05
Battery 18650,4,19.71,2023-03-05
Tank Glass,6,26.4,2023-03-05
Chargers,9,61.34,2023-03-05
Chargers,9,43.34,2023-03-05
Tank Glass,7,5.0,2023-03-05
Drip Tips,15,30.61,2023-03-05
Battery 18650,4,21.69,2023-03-05
Zero Nicotine 30ml,13,42.2,2023-03-05
Cotton Wicking,11,22.22,2023-03-05
Vape Juice 60ml,12,46.79,2023-03-05
Pod Kit,13,38.61,2023-03-05
Pod Kit,14,53.11,2023-03-05
Vape Mod XL,13,71.19,2023-03-05
Starter Kit,10,38.4,2023-03-05
Tanks,11,61.74,2023-03-05
Pod Kit,13,50.68,2023-03-05
Atomizers,22,49.72,2023-03-05
Tanks,7,63.59,2023-03-05
Vape Juice 60ml,11,33.97,2023-03-05
E-Liquid Premium,44,46.7,2023-03-05
Vape Juice 30ml,22,46.9,2023-03-05
Vape Juice 30ml,18,50.72,2023-03-05
Zero Nicotine 30ml,4,38.67,2023-03-06
Drip Tips,3,25.86,2023-03-06
Tank Glass,9,15.31,2023-03-06
Charger,8,17.52,2023-03-06
Drip Tips,1,49.65,2023-03-06
Battery 18650,1,25.05,2023-03-06
Battery 18650,3,26.65,2023-03-06
Batteries,10,54.18,2023-03-06
Replacement Coils,3,32.56,2023-03-06
Replacement Coils,5,15.22,2023-03-06
Replacement Coils,4,26.18,2023-03-06
Nicotine Pods,19,46.2,2023-03-06
Chargers,8,19.68,2023-03-06
E-Liquid Premium,26,52.25,2023-03-06
Vape Juice 60ml,24,15.34,2023-03-06
Zero Nicotine 30ml,5,23.08,2023-03-06
Pod Kit,6,47.35,2023-03-06
Pod Kit,8,62.43,2023-03-06
Pod Kit,6,78.09,2023-03-06
Starter Kit,4,28.73,2023-03-06
Vape Mod XL,10,60.78,2023-03-06
Starter Kit,1,13.5,2023-03-06
Tanks,13,62.95,2023-03-06
Atomizers,11,42.41,2023-03-06
Vape Juice 30ml,11,43.61,2023-03-06
Vape Juice 30ml,13,31.84,2023-03-06
Starter Kit,1,21.95,2023-03-06
Cotton Wicking,14,13.5,2023-03-07
Nicotine Pods,13,41.17,2023-03-07
Replacement Coils,2,5.0,2023-03-07
Replacement Coils,6,14.08,2023-03-07
Battery 18650,9,19.79,2023-03-07
Zero Nicotine 30ml,17,43.64,2023-03-07
Charger,6,24.04,2023-03-07
Tank Glass,4,13.79,2023-03-07
Drip Tips,2,36.8,2023-03-07
Drip Tips,2,20.61,2023-03-07
Chargers,12,61.45,2023-03-07
E-Liquid Premium,6,46.5,2023-03-07
Tank Glass,3,5.0,2023-03-07
E-Liquid Premium,9,40.86,2023-03-07
E-Liquid Premium,5,45.54,2023-03-07
Pod Kit,21,56.24,2023-03-07
Vape Mod XL,6,65.22,2023-03-07
Vape Mod XL,6,42.34,2023-03-07
Starter Kit,3,36.13,2023-03-07
Starter Kit,1,23.06,2023-03-07
Batteries,13,43.92,2023-03-07
Vape Juice 60ml,23,34.99,2023-03-07
Tanks,10,52.61,2023-03-07
Tanks,10,72.87,2023-03-07
Atomizers,5,71.1,2023-03-07
Atomizers,8,65.55,2023-03-07
Vape Juice 30ml,23,56.6,2023-03-07
Drip Tips,5,23.29,2023-03-08
Drip Tips,2,38.92,2023-03-08
Tank Glass,7,7.69,2023-03-08
Chargers,4,58.57,2023-03-08
Chargers,5,43.67,2023-03-08
Chargers,3,71.62,2023-03-08
Replacement Coils,11,24.33,2023-03-08
Nicotine Pods,14,71.2,2023-03-08
Zero Nicotine 30ml,16,44.04,2023-03-08
Battery 18650,10,19.65,2023-03-08
E-Liquid Premium,14,60.16,2023-03-08
Vape Juice 60ml,18,29.61,2023-03-08
Atomizers,11,59.55,2023-03-08
Tanks,13,63.92,2023-03-08
Starter Kit,5,42.04,2023-03-08
Starter Kit,4,28.46,2023-03-08
Pod Kit,4,63.67,2023-03-08
Pod Kit,6,61.75,2023-03-08
E-Liquid Premium,11,57.3,2023-03-08
Replacement Coils,7,13.73,2023-03-09
Replacement Coils,4,18.73,2023-03-09
Replacement Coils,4,23.3,2023-03-09
Cotton Wicking,17,36.44,2023-03-09
Battery 18650,10,21.79,2023-03-09
Charger,5,16.35,2023-03-09
Charger,3,15.69,2023-03-09
Charger,4,20.07,2023-03-09
Tank Glass,9,10.08,2023-03-09
Nicotine Pods,6,56.41,2023-03-09
Drip Tips,7,24.07,2023-03-09
Chargers,6,46.86,2023-03-09
Nicotine Pods,5,68.82,2023-03-09
Chargers,7,55.51,2023-03-09
Zero Nicotine 30ml,15,37.58,2023-03-09
Nicotine Pods,4,70.01,2023-03-09
Vape Mod XL,9,46.02,2023-03-09
Starter Kit,4,46.56,2023-03-09
Starter Kit,6,27.86,2023-03-09
Tanks,5,74.43,2023-03-09
Tanks,7,67.76,2023-03-09
Pod Kit,22,50.91,2023-03-09
Vape Juice 30ml,6,51.3,2023-03-09
Vape Juice 30ml,8,43.62,2023-03-09
Vape Juice 30ml,7,51.52,2023-03-09
Vape Juice 60ml,19,30.85,2023-03-09
E-Liquid Premium,28,56.57,2023-03-09
Atomizers,14,95.5,2023-03-09
Replacement Coils,7,6.13,2023-03-10
Replacement Coils,6,22.28,2023-03-10
Battery 18650,6,19.49,2023-03-10
Battery 18650,5,7.25,2023-03-10
Charger,5,28.75,2023-03-10
Chargers,16,66.02,2023-03-10
Charger,5,18.83,2023-03-10
Tank Glass,12,16.85,2023-03-10
Drip Tips,7,30.43,2023-03-10
Zero Nicotine 30ml,14,27.62,2023-03-10
Battery 18650,2,16.57,2023-03-10
E-Liquid Premium,12,55.56,2023-03-10
Batteries,15,67.69,2023-03-10
Vape Juice 60ml,8,39.06,2023-03-10
E-Liquid Premium,10,64.35,2023-03-10
Pod Kit,18,65.26,2023-03-10
Vape Mod XL,7,67.43,2023-03-10
Starter Kit,11,43.45,2023-03-10
Tanks,4,59.2,2023-03-10
Vape Mod XL,5,36.28,2023-03-10
Tanks,7,39.48,2023-03-10
Atomizers,12,50.28,2023-03-10
Vape Juice 30ml,12,58.01,2023-03-10
Vape Juice 30ml,11,47.45,2023-03-10
Vape Juice 60ml,11,16.62,2023-03-10
Tanks,5,51.14,2023-03-10
Batteries,15,49.74,2023-03-11
Drip Tips,6,24.2,2023-03-11
Drip Tips,6,8.55,2023-03-11
Tank Glass,5,12.99,2023-03-11
Tank Glass,8,13.21,2023-03-11
Charger,6,18.8,2023-03-11
Chargers,15,41.26,2023-03-11
Battery 18650,13,24.39,2023-03-11
Cotton Wicking,17,41.19,2023-03-11
Vape Juice 60ml,23,26.26,2023-03-11
Nicotine Pods,11,7.4,2023-03-11
Nicotine Pods,11,43.76,2023-03-11
Zero Nicotine 30ml,7,13.13,2023-03-11
Zero Nicotine 30ml,8,24.5,2023-03-11
Tanks,19,63.36,2023-03-11
Starter Kit,8,40.38,2023-03-11
Vape Mod XL,14,79.69,2023-03-11
Pod Kit,28,66.6,2023-03-11
Replacement Coils,10,14.61,2023-03-11
Battery 18650,12,6.18,2023-03-12
Chargers,5,30.02,2023-03-12
Chargers,8,22.39,2023-03-12
Charger,10,17.67,2023-03-12
Vape Juice 30ml,32,42.71,2023-03-12
Tank Glass,9,12.13,2023-03-12
Drip Tips,3,32.98,2023-03-12
Drip Tips,3,30.33,2023-03-12
Batteries,6,42.33,2023-03-12
Tank Glass,9,5.0,2023-03-12
Batteries,3,29.67,2023-03-12
Pod Kit,17,57.23,2023-03-12
Replacement Coils,7,16.8,2023-03-12
Vape Mod XL,14,40.82,2023-03-12
Starter Kit,6,53.4,2023-03-12
Tanks,22,24.84,2023-03-12
Batteries,4,17.17,2023-03-12
Zero Nicotine 30ml,18,35.76,2023-03-12
Nicotine Pods,26,66.31,2023-03-12
Replacement Coils,8,18.87,2023-03-12
Vape Juice 60ml,22,44.38,2023-03-12
Drip Tips,8,14.86,2023-03-13
Tank Glass,5,9.12,2023-03-13
Tank Glass,1,26.48,2023-03-13
Chargers,5,50.01,2023-03-13
Chargers,6,49.93,2023-03-13
Battery 18650,4,19.04,2023-03-13
Battery 18650,2,14.85,2023-03-13
Batteries,11,24.49,2023-03-13
Cotton Wicking,5,66.03,2023-03-13
Cotton Wicking,3,30.93,2023-03-13
Replacement Coils,13,21.43,2023-03-13
Nicotine Pods,6,52.48,2023-03-13
Cotton Wicking,4,6.9,2023-03-13
Zero Nicotine 30ml,12,38.37,2023-03-13
Pod Kit,20,42.91,2023-03-13
Nicotine Pods,7,23.32,2023-03-13
Vape Mod XL,7,40.92,2023-03-13
Starter Kit,6,45.36,2023-03-13
Tanks,3,63.1,2023-03-13
Vape Mod XL,6,71.21,2023-03-13
Atomizers,9,55.32,2023-03-13
Vape Juice 30ml,24,57.58,2023-03-13
Vape Juice 60ml,17,22.96,2023-03-13
E-Liquid Premium,17,42.99,2023-03-13
Tanks,4,52.84,2023-03-13
E-Liquid Premium,22,39.2,2023-03-14
Charger,5,19.22,2023-03-14
Chargers,10,40.52,2023-03-14
Battery 18650,9,30.35,2023-03-14
Batteries,15,30.57,2023-03-14
Cotton Wicking,17,45.71,2023-03-14
Drip Tips,5,33.88,2023-03-14
Nicotine Pods,5,29.4,2023-03-14
Nicotine Pods,5,72.04,2023-03-14
